wordcontent,sentences,index
मुख्यमंत्री,"काही उद्योजकांसह श्री . देसाई , ""एनएसयूआय'चे जिल्हाध्यक्ष धनंजय जाधव , उपाध्यक्ष गौरव ढोणे यांनी मुख्यमंत्री विलासराव देशमुख , कृषिमंत्री थोरात यांच्याकडे आभाराचे फॅक्‍स पाठविले .",764
मुख्यमंत्री,"जिल्हा परिषद निवडणुकीपूर्वी मुंबई येथे मुख्यमंत्री , उद्योगमंत्री , कृषिमंत्री , नगरविकास खाते व महापालिकांचे अधिकारी यांच्यासह नगरच्या उद्योजकांची बैठक झाली होती .",765
मुख्यमंत्री,"कर्नाटकमध्येही या प्रकारचा कायदा करण्यात आला होता ; पण तेथील उच्च न्यायालयाने तो रद्द ठरविला असल्याने राज्यात हा प्रस्तावित कायदा लागूच करू नये , अशी मागणी मुख्यमंत्री आणि राज्यातील सर्व आमदारांना पत्राद्वारे केली आहे , असे त्यांनी नमूद केले .",886
माल,अत्यल्प किमतीला खरेदी केलेला माल मॉलमध्ये अत्युच्च किमतीला विकला जाईल .,360
माल,सुरवातीला पोलिसांची दिशाभूल करणारा काल्या आता बोलू लागल्याने त्याच्याकडून माल घेतलेले सराफही पोलिसांच्या जाळ्यात अडकत आहेत .,771
माल,सराफाने माल घेतल्याची कबुली दिली आहे .,785
माल,"काल्याने काही माल नगरमध्येही विकल्याचे पोलिसांना सांगितले असून , त्यादृष्टीने तपास सुरू आहे .",786
माल,त्यामध्ये त्याने श्रीगोंद्यातील सराफाला माल दिल्याचे सांगितले .,788
माल,आता त्याच बाजारपेठेतील सराफांनीही चोरीचा माल घेतल्याची माहिती उघड होत आहे .,1264
वापरला,"तसेच आज जमैका पोलिसांनी जाहीर केलेल्या पत्रकानुसार वूल्मर यांनी अठरा मार्च रोजी शॅम्पेन घेतली होती , त्या वेळी जो ग्लास त्यांनी वापरला त्यातील उरलेल्या शॅम्पेनची तपासणी केल्यानंतर त्यात विषाचे अंश सापडले आहेत .",1091
वापरला,त्यासाठी वापरला जाणारा बॉंब केवढ्याचा ? अंदाजे सोळा लाखांचा .,4997
वापरला,बायोगॅसप्लांटसाठी कच्चा माल म्हणून जर्मनीमध्ये मका मोठ्या प्रमाणावर वापरला जातो .,6217
वापरला,"याव्यतिरिक्त , खाद्य मका हा कधी-कधी हरण किंवा वन्य सुकर ह्यांसारख्या प्राण्यांची शिकार करण्यासाठी आमिष म्हणून वापरला जातो .",6241
वापरला,मका हा इतर चारा म्हणून वापरल्या जाणार्‍या तृणधान्यापेक्षा बायोमास निर्मितीसाठी जास्त मोठ्या प्रमाणात वापरला जातो .,6242
वापरला,पारंपरिक प्रकारची मूठ ही मोठी असते आणि उजव्या हातासाठी त्याच्या मध्यभागी पकड असते ; काहींमध्ये टोकाला दुसरी पकड असते ; स्कॉटलँडमध्ये वापरला जाणारा एक सुधारित प्रकार ही दोन पकडींच्या वाई आकाराची पाळी असते .,6508
पाहिले,म्हणून डॉक्टरांनी मागे वळून पाहिले तर त्यांना ती विवाहित ' सखी ' दिसली .,281
पाहिले,पण मी येईपर्यंत त्यांनी मूल पाहिले नव्हते .,697
पाहिले,"मानेनेच मी तो विचार झटकला आणि डॉक्टरांना काय वाटते ते बघावे म्हणून त्याच्या चेहऱ्याकडे पाहिले , तर ते मूल बघायचे सोडून माझ्या चेहऱ्यावरचे भाव निरखीत उभे होते .",706
पाहिले,मी पाहिले तर खरंच तेथे शाईचा डाग होता .,1328
पाहिले,त्यामध्ये आपल्या मुलीचे शिक्षण व त्या अनुरूप मुलाचे शिक्षण पाहिले जात आहे .,1480
पाहिले,"त्यानंतर मुलगी चांगल्या संस्कारित घरात जावी , हेही पाहिले जात आहे .",1481
प्रकाशन,"या वेळी फादर फ्रान्सिस दिब्रिटो यांनी लिहिलेल्या - संपादित केलेल्या "" पर्वतावरील प्रवचन ' , "" आशेचा उंबरठा ओलांडताना ' व "" शृंगार , मैत्री आणि प्रीती ' या पुस्तकांचे प्रकाशन न्यायमूर्ती धर्माधिकारी यांच्या हस्ते झाले .",185
प्रकाशन,"प्रसिद्ध गीतकार जगदीश खेबुडकर यांच्या पुस्तकांचे प्रकाशन शिवसेनाप्रमुखांच्या हस्ते आज मातोश्रीवर झाले , त्या वेळी ते बोलत होते .",408
प्रकाशन,"खेबुडकर यांच्या सामाजिक गीतांवर आधारित ठिणग्यांची फुले , बाभूळबन व चित्रपटगीतांवर आधारित चित्रगंगा भाग १ व भाग २ या चार पुस्तकांचे प्रकाशन बाळासाहेबांच्या हस्ते पार पडले .",409
प्रकाशन,"डॉ. अरुण टिकेकर यांच्या मुंबई विद्यापीठाचा दीडशे वर्षांचा इतिहास सांगणाऱ्या "" ऐसा ज्ञानसागरू ' या ग्रंथाचे प्रकाशन शिंदे यांच्या हस्ते विद्यापीठाच्या दीक्षांत सभागृहात करण्यात आले .",1378
प्रकाशन,विद्यापीठाच्या सव्वाशे वर्षांचा इतिहास सांगणाऱ्या डॉ. टिकेकर यांच्या पुस्तकाचे यापूर्वी इंग्रजीत प्रकाशन झाले आहे ; मात्र खेडोपाड्यांतील विद्यार्थ्यांनाही विद्यापीठाची महती कळावी या उद्देशाने पुढील २५ वर्षांचा कालावधी नव्या पाठांसहित यात घेण्यात आला आहे .,1384
प्रकाशन,""" मौज ' व "" पॉप्युलर ' या दोन नामवंत प्रकाशन संस्थांनी या ग्रंथाच्या उभारणीस हातभार लावला .",1385
याचे,"सर्वसामान्य माणसाला याचे महत्त्व कळत नाही , तोपर्यंत खारफुटीच्या जंगलांच्या तोडीने होणारी निसर्गाची शोकांतिका थांबणार नाही .",517
याचे,याचे कारण म्हणजे लहानपणापासून आत्तीशी माझी जवळीक कधीच निर्माण होऊ शकली नाही .,668
याचे,"वाहनधारक पतसंस्था हे एक निमित्त ; पण पतसंस्थांना "" अ ' वर्ग कसा दिला गेला , परिणामी पतसंस्थांचा गाडा केवळ कागदोपत्री चांगला कसा दिसत गेला व एक दिवस पतसंस्थांचा कारभारच कसा बुडाला , याचे हे विदारक दर्शनच या व भुदरगड पतसंस्थेच्या निमित्ताने घडले आहे .",1407
याचे,"भारतीय व्यापाऱ्यांकडे पाकिस्तानी बासमती तांदूळ कसा येतो , याचे उत्तर देण्याचे मात्र या उत्पादकाने टाळले .",1889
याचे,कॉंग्रेसच्या त्याकाळच्या विविध सभांचा उल्लेख करून डॉ. मोरे यांनी स्वातंत्र्यलढ्याचे चित्र आणि त्याकाळची नेत्यांची मानसिकता याचे चित्र उपस्थितांसमोर उभे केले .,2245
याचे,"मला मी कुठल्या अवस्थेत इतकी जोरात पळत आहे , याचे भानच नव्हते .",2946
प्रवेश,सकाळी नऊ वाजून २५ मिनिटांनी पुनामिया यांनी डोंबिवली स्थानकात प्रवेश करून हा विक्रम स्थापित केला .,2097
प्रवेश,"उल्लेख करण्यासारखी बाब म्हणजे गोखलेंच्या काही अनुयायींना गांधींचा त्यांच्यातील प्रवेश आवडला नाही , त्यामुळे गांधींनी सरळ साबरमतीची वाट धरली आणि तेथेच आश्रमाची स्थापना केली , असेही डॉ. मोरे यांनी विविध उदाहरणे देऊन स्पष्ट केले .",2243
प्रवेश,दुसऱ्या एका भव्य मैदानात फक्त त्याच शिक्षण संस्थेच्या सभासदांना प्रवेश होता .,3738
प्रवेश,इथून पुढं गेल्यावर आम्ही एका गणेश मंदिरात प्रवेश केला .,4180
प्रवेश,शालांत परीक्षांचे निकाल मंगळवारी जाहीर होणार असताना शहरातील तीन आघाडीच्या महाविद्यालयांमध्ये प्रवेश मिळविण्यासाठी विद्यार्थ्यांची गर्दी होणार हे जवळपास स्पष्ट होऊ लागले आहे .,4430
प्रवेश,"या महाविद्यालयात वाणिज्य शाखेत प्रवेश मिळविण्यासाठी मोठी स्पर्धा राहील , असे चित्र आहे .",4432
नगरसेवक,"तर माजी नगरसेवक शिवा मंत्री यांनी आयुक्तांना एका पत्रक देऊन दरवाढ नागरिकांवर लादू नये , अशी मागणी केली .",1503
नगरसेवक,"राष्ट्रवादी पुरस्कृत शहर विकास आघाडी तीन , अपक्ष दोन असे मिळून ' राष्ट्रवादी ' कडे सध्या आठ नगरसेवक असल्याचे श्री. कुऱ्हाडे यांच्याकडून सांगण्यात आले .",1615
नगरसेवक,कॉंग्रेसला मुंबई महापालिकेत सत्ता मिळाली नसली तरी २००२ पेक्षा या निवडणुकीत कॉंग्रेसचे दहा नगरसेवक जास्त निवडून आले आहेत .,1782
नगरसेवक,प्रभाग क्रमांक १३० मधून निवडून आलेल्या अपक्ष नगरसेविका अंजूम फातिमा असलम आणि प्रभाग क्रमांक १३५चे नगरसेवक शेख मोहम्मद फारूख यांनी कॉंग्रेसला पाठिंबा दिला आहे .,1791
नगरसेवक,पुणे स्टेशनजवळ कॉंग्रेसचे उमेदवार अरविंद शिंदे व शिवसेनेचे नगरसेवक अजय भोसले यांच्या कार्यकर्त्यांत सायंकाळी साडेपाचच्या सुमारास धुमश्‍चक्री झाली .,1917
नगरसेवक,डॉ. बाबासाहेब आंबेडकर उद्यान प्रभाग क्रमांक ४६ मध्ये कॉंग्रेसचे उमेदवार अरविंद शिंदे व शिवसेनेचे माजी नगरसेवक अजय भोसले यांचे बंधू अमर भोसले निवडणूक रिंगणात आहेत .,1918
स्थापना,"उल्लेख करण्यासारखी बाब म्हणजे गोखलेंच्या काही अनुयायींना गांधींचा त्यांच्यातील प्रवेश आवडला नाही , त्यामुळे गांधींनी सरळ साबरमतीची वाट धरली आणि तेथेच आश्रमाची स्थापना केली , असेही डॉ. मोरे यांनी विविध उदाहरणे देऊन स्पष्ट केले .",2243
स्थापना,या कैद्यांसाठी एका वेगळ्या कक्षाची स्थापना करण्यात आली आहे .,2498
स्थापना,"सर्व विषयांचे व सर्व पातळीवरील शिक्षण मराठी भाषेतून देणाऱ्या ' आंतरराष्ट्रीय मराठी विद्यापीठाची ' स्थापना करण्यात यावी , यासह विविध मागण्यांचा समावेश असलेले तब्बल तेरा ठराव ८०व्या अखिल भारतीय मराठी साहित्य संमेलनाच्या आजच्या अखेरच्या दिवशी संमत करण्यात आले .",3528
स्थापना,कै . अण्णांनी १४ जून १८९६ रोजी अनाथ बालिकाश्रमाची स्थापना केली .,4149
स्थापना,त्यातच बसून त्यांनी रंगपंचमीच्या मुहूर्तावर ४ मार्च १९०७ रोजी महिला विद्यालयाची स्थापना केली .,4152
स्थापना,"सीबीआयची स्थापना या कायद्यांतर्गत झाल्याने राज्य सरकारच्या पूर्वपरवानगीशिवाय चौकशीचे आदेश देता येणार नाहीत , अशी बाजू राज्य सरकारांच्यावतीने वतीने मांडण्यात आली आहे .",5755
न्यायालयात,त्यामुळे कर्मचारी युनियनने न्यायालयात धाव घेतली होती .,7
