,number,sentences
99,pl,"ఆకు కూరలు , కూరగాయలు నవనవలాడుతుంటాయి ."
100,,బొప్పాయి సులభంగా పెరిగే చెట్టు NULL .
101,sg,దీనికి పెద్ద చోటు అవసరం లేదు .
102,,ఇది ఆరు నెలలలోపే కాపుకు వచ్చే చెట్టు NULL .
103,,చెట్టు కాయలుంటాయి .
104,sg,వారానికి ఒక పండు తప్పకుండా పండుతుంది .
105,sg,బొప్పాయి పండు తినడానికి రుచిగా ఉంటుంది .
106,any,పచ్చి బొప్పాయి కాయలతో కూరలు వండుకోవచ్చు .
107,pl,"బొప్పాయి కాయ , గింజలు , పాలు చాలా జబ్బులు పోగొడతాయి ."
108,,కంటి జబ్బులకు బొప్పాయి పండు మంచి మందు NULL .
109,any,బొప్పాయి తింటే రేచీకటి దగ్గరకు రాలేదు .
110,pl,ఆడవాళ్లు కడుపుతో ఉంటే బొప్పాయి తినగూడదు అంటారు .
111,sg,ఇది నిజం కాదు .
112,,పైగా బిడ్డకు ఎంతో మంచిది NULL .
113,pl,"మల బద్దకానికి బొప్పాయి పాలు , నీళ్లు , తేనె కలిపి తాగండి ."
114,pl,బొప్పాయి గింజలు నూరి పాలలో కలిపి తాగండి .
115,any,ఏలిక పాములు పడి .
116,pl,బొప్పాయి కాయ గుజ్జు రోజూ పూయండి .
117,any,కురుపులు మాడి .
118,pl,చూడండి !
119,,బొప్పాయి ఎంత గొప్పదో NULL !
120,any,ఒక మునగచెట్టు ఉంటే .
121,sg,కూరకోసం వెతికే పని ఉండదు .
122,sg,మునగ చేసే మేలు మనలో చాలామందికి తెలియదు .
123,,మునగాకు కూర కళ్లకు ఎంతో మంచిది NULL .
124,any,పూత కూరలో వేసుకోవచ్చు .
125,,మునగలు చాలా రకాలు NULL .
126,,వీటిలో బెంగుళూరు రకం చాలా మంచిది NULL .
127,sg,కాయ లావుగా పొడవుగా ఉంటుంది .
128,sg,లోపల గుజ్జు బాగా ఉంటుంది .
129,,ముదిరినా తగ్గని రుచి దీనిది NULL .
130,,మంచి రకం మునగ ఏడాదిలో కాపుపడుతుంది .
131,,మునగ కాసేది కాయలు కాదు రూపాయలే NULL .
132,any,పాల దిగుబడి పెరగాలంటే -
133,sg,పాల దిగుబడి పెరిగితే మన ఆదాయం పెరుగుతుంది .
134,any,మెలకువగా పాడి చేసుకుంటే దిగుబడి బాగా పెంచుకోవచ్చు .
135,any,పచ్చి గడ్డి మేత వేసేటప్పుడు కంది వేయాలి .
136,sg,దీని అరలీటరు పాలు దిగుబడి పెరుగుతుంది .
137,any,పశువును బాగా కడగాలి .
138,any,"కొట్టంలో పేడ , ఈగలు , దోమలు లేకుండా చూచుకోవాలి ."
139,any,పాలిచ్చేటప్పుడు గొడ్డును భయపెట్టగూడదు .
140,any,అది సంతోషంగా ఉండాలి .
141,sg,దీని పాల దిగుబడి పెరుగుతుంది .
142,any,దూడకు మొదట పాలు తాపాలి .
143,any,తరువాత పాలు పిండాలి .
144,any,చివరి పాలు దూడకు వదల .
145,any,పాలు రోజూ ఒకే సమయంలో పిండాలి .
146,any,తొందర తొందరగా పిండాలి .
147,any,అప్పుడప్పుడు మానివేయ .
148,any,పశువు జబ్బుతో ఉంటే పాలు పిండగూడదు .
149,,అరటి సులభంగా పెరిగే చెట్టు NULL .
150,,దీనికి కొద్ది చోటు చాలు NULL .
151,any,ఇంటిలో ఒక పిలక నాటుకుంటే .
152,sg,ఏళ్ల తరబడి ఉంటుంది .
153,any,ఒకటి రెండు పిలకలు ఉంచి మిగిలిన వాటిని తీసి .
154,any,గెల కోసిన చెట్టును నరికి .
155,,వీటిలో పచ్చవి తొందరగా కాపుకు వచ్చే రకం NULL .
156,sg,ఈ చెట్టు పొట్టిగా ఉంటుంది .
157,,అరటికి పచ్చి పేడ మంచి ఎరువు NULL .
158,,పూతకు వచ్చినప్పుడు యూరియా వాడడం మంచిది NULL .
159,sg,పెద్ద గెల దిగుతుంది .
160,sg,కాయ సైజు పెరుగుతుంది .
161,any,అరటికి తడి ఆరకుండా నీరు ఉండాలి .
162,any,మనం వాడిన నీళ్లు చెట్టుకు పారేటట్టు చేసుకుంటే .
163,,ఈ సంగతి మీకు తెలుసా
164,sg,మూడు ఆపిల్ పళ్లలో ఉండే బలం ఒక అరటి పండులో ఉంది .
165,sg,అదనంగా సంపాదించాలని అందరికీ ఉంటుంది .
166,pl,ఏదో చేయాలి అనుకుంటాము .
167,,కానీ అందుబాటులో ఉండే పనులు మనకు కనబడవు .
168,pl,కూరగాయలు పండించలేం .
169,,కానీ రెండు కొబ్బరి మొలకలు నాటుకోవచ్చుగదా !
170,sg,చెట్టు పెరిగి పైకి పోతుంది .
171,sg,మనకు అడ్డం రాదు .
172,,కొబ్బరిలో సంకరజాతివి నాటుకొంటే మంచిది NULL .
173,pl,తొందరగా కాపు పడతాయి .
174,any,కొబ్బరి చెట్టు బాగా కాయాలంటే నీళ్లు బాగా ఉండాలి .
175,any,చెట్టు మొదట తడి ఆరకుండా చూచుకోవాలి .
176,any,మనం వాడుకునే నీళ్లు చెట్టుకు అందేటట్టు చేసుకుంటే .
177,sg,దీనికొక ఉపాయం ఉంది .
178,any,గుంటను ఒక బండతో కప్పివేయాలి .
179,any,మనం వాడిన నీళ్లు ఈ గుంటలో పడేటట్టు చేయాలి .
180,sg,చెట్టు తొందరగా పెరుగుతుంది .
181,sg,ఒక కొబ్బరి చెట్టు సుమారుగా కాపు పడితే అయిదు వందల రూపాయల ఆదాయం ఉంటుంది .
182,sg,ఇంతకంటే సులభమైన సంపాదన ఉంటుందా !
183,pl,రెండు కొబ్బరి మొలకలు నాటండి !
184,sg,వెంకటాపురంలో సోములు ఉండేవాడు .
185,sg,సోములు ఏ పనీ చేసేవాడు .
186,any,నేను ఎందుకు పని చేయాలి .
187,sg,ఏనాటికైనా నేను ధనవంతుడను అవుతాను .
188,any,అది నా జాతకంలోనే రాసి .
189,sg,అని సోములు అనేవాడు .
190,sg,పని చేసి బతుకు అనేవాడు .
191,any,ధనవంతునివి కావాలి అంటే పని చేయాలి .
192,sg,సోములు వినేవాడు .
193,sg,చివరికి పోచాలు సోములుతో విసిగిపోయాడు .
194,any,సోములుకు పెళ్లి చేయాలి .
195,pl,సోములుకు పెళ్లి చేశారు .
196,sg,సోములుకు అనసూయతో పెళ్లి జరిగింది .
197,any,సోములును ఒక దారికి తేవాలి .
198,any,పని చేయించాలి .
199,sg,అని అనసూయ అనుకుంది .
200,sg,ఒక రోజు ఉదయాన లేచింది .
201,sg,నాకు కలలో ఒక దేవత కనిపించింది .
202,pl,మన పెరటిలో లంకెబిందెలు ఉన్నాయట .
203,sg,దేవత నాతో చెప్పింది .
204,any,అని అనసూయ సోములుతో అంది .
205,,సోములు ముఖంలో సంతోషం నా జాతకం ఇదే అయుండాలి .
206,sg,పలుగు పార తీసుకున్నాడు .
207,sg,లంకెబిందెల పెరటిలో తవ్వాడు .
208,sg,పది రోజులు తవ్వాడు .
209,any,అయినా లంకెబిందెలు కనపడలేదు .
210,pl,కానీ గోతిలో నీళ్లు చేరాయి .
211,sg,పైసా లేకుండా బావి పని అయింది .
212,sg,అందుకు అనసూయ సంతోషించింది .
213,any,పెరడంతా దున్నాలి .
214,pl,అప్పుడే లంకెబిందెలు దొరుకుతాయి .
215,,సోములుకు ఆశ చావలేదు .
216,sg,పెరడంతా దున్నాడు .
217,sg,వారం రోజులు దున్నాడు .
218,,అయినా లంకెబిందెల జాడలేదు .
219,sg,అనసూయకు సంతోషం అయింది .
220,sg,పెరడంతా అరటి పిలకలు నాటింది .
221,sg,నా కల నిజం అవుతుంది .
222,sg,దేవత మన మంచికే చెప్పింది .
223,any,లంకెబిందెలు పెరటిలో దొరకలేదు .
224,,ఆశ చావలేదు .
225,any,అయినా బావిలో బిందెలు కనపడలేదు .
226,pl,రోజురోజుకు నీళ్లు ఊరాయి .
227,sg,అనసూయ పెరటిలో పాదులు తీసింది .
228,any,అరటి పిలకలకు నీళ్లు అందేలా .
229,pl,కొన్ని రోజులకు అరటి గెలలు వేశాయి .
230,sg,అనసూయ వాటిని అంగడికి పంపింది .
231,sg,పైసలు జమ చేసింది .
232,sg,ఆ పైసలు సోములు చేతిలో ఉంచింది .
233,,అనగనగా ఒక ఊరు NULL .
234,,ఆ ఊరి పేరు సిరిపురం NULL .
235,,సోములు సీతాలు ఆలుమగలు NULL .
236,,వాళ్లది సిరిపురం NULL .
237,sg,మొదటిసారి కూతురు పుట్టింది .
238,any,సోములు సీతాలు మురిసి .
239,sg,రెండోసారి కూతురే పుట్టింది .
240,sg,సోములుకు మనసులో మనసు లేదు .
241,sg,సీతాలును సూటిపోటి మాటలు అనేవాడు .
242,sg,కొడుకు లేకపోవడం లోటు అని అందరితో అనేవాడు .
243,sg,కొడుకుని కనకపోవడం సీతాలుదే తప్పు NULL . అని అందరితో అనేవాడు .
244,sg,కాన్పులతో సీతాలు పాడయింది .
245,,అయినా సోములు వినలేదు .
246,sg,ఎవరో సాధువు ఆ ఊరికి వచ్చాడు .
247,sg,ఆ సాధువు రోగాలు నయం చేసేవాడు .
248,sg,మందులు ఇచ్చేవాడు .
249,sg,సోములుకు తెలిసింది .
250,sg,సోములు సీతాలుతో సాధువును కలిశాడు .
251,sg,కొడుకు పుట్టడానికి మందు అడిగాడు .
252,sg,సాధువు ఏదో మందు ఇచ్చాడు .
253,sg,సోములు సాధువు మాటలు నమ్మాడు .
254,sg,అడిగిన ధనం ఇచ్చాడు .
255,sg,సీతాలు మందు తినిపించాడు .
256,pl,సీతాలుకు నెలలు నిండాయి .
257,sg,కాన్పు అయింది .
258,,ఈ సారి కూతురే NULL .
259,any,సోములు కోరిక తీరలేదు .
260,pl,సీతాలు బాధలు పెరిగాయి .
261,sg,ఒకసారి సోములుకు బాగాలేదు .
262,sg,"కక్కుడు , పారుడు అయింది ."
263,pl,దవాఖానాలో ఉంచారు .
264,sg,వారం రోజులు దవాఖానాలో ఉన్నాడు .
265,sg,రోజు డాక్టరు చూసేవాడు .
266,sg,ఒకరోజు సోములుకు రత్తాలు దవాఖానాకు వచ్చింది .
267,sg,డాక్టరును కలిసింది .
268,sg,తన గోడు చెప్పుకుంది .
269,,రత్తాలుకు అయిదుగురు ఆడపిల్లలే NULL .
270,sg,అందుకు మొగుడు కొడుతున్నాడు .
271,sg,మళ్లీ పెళ్లి చేసుకుంటాడట .
272,,ఈ సారి మగ పిల్లాడు కలిగేలా . అని రత్తాలు డాక్టరుతో ఒకటే ఏడుపు NULL .
273,sg,మందులతో లాభం లేదు .
274,sg,మగపిల్లవాడు పుట్టడానికి మందులు లేవా అని రత్తాలు అడిగింది .
275,,మగపిల్లవాడా ఆడపిల్లనా NULL .
276,sg,ఇది ఎవరి చేతిలో లేదు .
277,sg,ఆడవాళ్లకు నెలా నెలా అండం వస్తుంది .
278,pl,అండంతో వీర్య కణాలు కలుస్తాయి .
279,sg,అప్పుడు పిండం తయారవుతుంది .
280,sg,మగ ఆడ అనేది వీర్య కణాలను ఉంటుంది .
281,pl,వీర్య కణాలు రెండు రకాలు ఉంటాయి .
282,pl,ఒక రకంతో ఆడపిల్లలే పుడతారు .
283,pl,ఇంకో రకంతో మగపిల్లలే పుడతారు .
284,pl,మగవాళ్లలో ఒకే రకం కణాలుంటే ఆడపిల్లలే పుడతారు .
285,pl,"రెండు రకాల కణాలు ఉంటే ఆడపిల్లలు పుడతారు , మగపిల్లలు పుడతారు ."
286,,అంతేగాని ఇది ఎవరి చేతిలో లేదు .
287,sg,ఆడవాళ్ల తప్పు అసలే కాదు . అని డాక్టరు చెప్పింది .
288,sg,సోములు ఇదంతా విన్నాడు .
289,sg,తన తప్పు తెలుసుకున్నాడు .
290,sg,సీతాలు రాగానే దగ్గరకు తీసుకున్నాడు .
291,sg,కొడుకైనా కూతురైనా ఒకటే అన్నాడు .
292,,రాజులు మగడు సాయిలు NULL .
293,,సాయిలు చేసేది పాలేరు పని NULL .
294,,దొరగారి పాలేరు NULL .
295,,నెలకు మూడు కుంచాల జీతం NULL .
296,,నిరుటి కుంచెడే NULL .
297,,కుంచెడు కాలం తాను జీతగాడే NULL .
298,,తాత జీతగాడే NULL .
299,,నాయన జీతగాడే NULL .
300,sg,రాజులు కూలికి నాలికి పోతది .
301,sg,కోతల కాలంలో పరిగె ఏరుకుంటుంది .
302,sg,దొర ఇంటి పనులకు పోతది .
303,,అయితే ఏమీ ఉంది .
304,,ఆరుగాలం పనిచేసినా . అయిదు వేళ్లు నోటిలోకి పోవుట గగనం NULL .
305,any,రాజులు తల్లి ఇంట సుఖపడలేదు .
306,sg,ఇంట సుఖం లేదు .
307,,మొదటి బాధలే NULL .
308,,అయినా ఏ నాడు ఏడవలేదు .
309,sg,గుండె బలంతో బతికింది .
310,sg,అందరితోనూ మంచి అనిపించుకుంది .
311,,మొదలు వరుసగా నలుగురు ఆడసంతానం NULL .
312,pl,ఇద్దరు పోయినారు .
313,pl,ఇద్దరు మిగిలినారు .
314,,మనం పేదోళ్లం NULL .
315,pl,కూతురే కొడుకు అనుకుందాం .
316,any,మగ పిల్లాడు లేకుంటే మానే .
317,,మనకి భూములా జాగాలా NULL .
318,,పశువులా పంటలా NULL .
319,,వెండా బంగారమా NULL .
320,,బంగళాలా NULL .
321,any,సాయిలు వినలేదు .
322,,నీ మాట నిజమే NULL .
323,sg,మనకు ముల్లె లేదు .
324,pl,ఎందరు పోరలు అని అడుగుతారు .
325,sg,ఆడపిల్ల మనకు కాదు .
326,sg,అక్కడకే పోతది .
327,sg,దీపం కాపాడుతాడు .
328,sg,వంశం నిలుపుతాడు .
329,sg,ముసలితనంలో ఇంత కూడు పెడతాడు .
330,sg,చనిపోతే తలకు కొరివి పెడతాడు .
331,,కొడుకు పుట్టిండు .
332,,సాయిలుకు రాజులకు సంతోషం NULL .
333,sg,సాయిలు ఎంతో మురిసిపోయాడు .
334,,కొడుకు పేరు వెంకట NULL .
335,sg,బిడ్డలకు మనువు చేసింది .
336,,మొదటి కూతురు బతుకు NULL .
337,,దాని మొగుడు మంచోడు NULL .
338,sg,తనది తనకు చాలు అంటడు .
339,sg,నాలుగు పైసలు దాచుకుంటాడు .
340,sg,దాని కాపురం అది చేసుకుంటోంది .
341,,రెండో పిల్ల మొగుడే చిరుతగాడు NULL .
342,sg,నేలమీద నిలిసి ఆకసానికి చేతులు చాపుతాడు .
343,,అన్నీ బడాయి మాటలు NULL .
344,pl,అవి ఏవీ జమ కావు .
345,sg,పొల్లను అత పెడతాడు .
346,,వాడిది ఏడిసిన కొంప అగుపడుతుంది .
347,,ఇంటిది నవ్వుతూ తిరుగుతుంటే నీకే మంచిది NULL .
348,sg,అని చెపితే వినడు .
349,,సూడబోతే సుందరాంగుడు NULL .
350,pl,పావురమలె బాగనే ఉండె .
351,,నెలకు ఓసారి కూతురు అలిగొత్తది .
352,,ఆనికేం రోగమో తెలువది .
353,sg,ఆలిని కాలుసుక తింటాడు .
354,,మంచి పోలగాని జూసి మనువు చేతాం .
355,,బంగారు కత్తి అని మెడకోసుకుంటామా .
356,sg,అంటే ఇంటి ఆయన వినడు .
357,,ఆడదాని బతుకు మొగనితోనే NULL .
358,,తెంపి ముడి ఏయడం కురుస NULL .
359,sg,మారు మనువు కూడదు .
360,pl,దాని రాతే అంత అనుకుందాం .
361,,అని నీతులు పలుకుతడు .
362,,రాతలు కోతలు అనేవి పాతకాలం మాటలు NULL .
363,sg,అని నేను అంటే నా మాట వినడు .
364,,ఈ కాలం చదివితేనే మనిషి NULL .
365,sg,లేకుంటే విలువ లేదు .
366,,మనవి గోస బతుకులు NULL .
367,sg,ఎండల వానల మిడుకుడు .
368,,మంచి కొలువు దొరుకుతది .
369,sg,అని వెంకటిని బడికి పంపింది .
370,sg,పదిదాకా బడికి పోయాడు .
371,any,పదిల లేవలేదు .
372,,ఇక సదువు సాగలేదు .
373,any,చేతికి పని అంటలేదు .
374,,పసుల గాయడు .
375,sg,పొలంల దిగడు .
376,,ఏడనో తిరుగుతడు తిండికి ఇంటికి చేరుతడు .
377,sg,మాట వినడు .
378,,జులాయిగ తిరుగతడు .
379,sg,పేకాట ఆడతాడు .
380,,సినిమాలకు పోతడు .
381,sg,అది గావాలె ఇది గావాలె అంటాడు .
382,,అయితే ఇంత గారాబం NULL .
383,any,ఏడికి కాకుండా .
384,any,బతికుండగానే కొరివి పెడుతుండు .
385,sg,ఇంటికాడ కాలు నిలవదు .
386,,తోటకూరోలె పెరిగిండు .
387,pl,నూగు దోసకాయల్లె ఉండె .
388,,ఆశ భూమయి ఏలుతానంటె .
389,pl,నొసలు గాడిదలు కాయమనె .
390,sg,ఆయనకు రాడు .
391,sg,నామాట వినడు .
392,sg,మీటింగులకు అని పోయాడు .
393,,పోలీసుల కంట పడిండు .
394,pl,తీసుకపోయి పొట్టు పొట్టు కొట్టిరి .
395,sg,కొడుకు కావాలె అనిపోతే ఏం జరిగింది .
396,pl,చెట్టు నిండా కాయలు ఉంటాయి
397,,అక్కడ మరణాలు ఆడవాళ్లకూ మగవాళ్లకూ సమానం NULL .
398,any,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం .
399,pl,వాళ్లు ఏమనుకొంటారు ?
400,sg,ఎందుకమ్మా ఆడపిల్లను కంటావు .
401,,విజయవాడలో మరో ఆడశిశువు హత్య NULL .
402,,ఆడవాళ్లు కడుపుతో ఉన్నప్పుడు
403,pl,వాళ్లకేమీ జబ్బులు రావా ?
404,,అంటే కడుపుతో ఉన్న ప్రతి ఇల్లాలికీ
405,any,మంచి ఆహారం అందించాలి .
406,any,ఐరన్ మాత్రలు ఇవ్వాలి .
407,any,తీరిక ఉండాలి .
408,any,ఆరోగ్య కార్యకర్త తరచుగా వచ్చి పరీక్షలు చేస్తుండాలి .
409,,అసలు విషయం ఏమంటే మొదటి ఆడవాళ్లు ఆరోగ్యంగా పెరగాలి .
410,,గర్భంతో ఉన్నప్పుడు ఆమెకు ఇద్దరి ఆహారం అవసరం .
411,,హనుమంతుని పల్లె దాని పేరు NULL .
412,,ఊరి చెరువులో నీళ్లు NULL .
413,pl,అందరికీ సరిపోవును .
414,,మంచినీటికి ఒక నూయి NULL .
415,,అందులో తియ్యని నీళ్లు NULL .
416,sg,గుడి ఉంది .
417,sg,బడి ఉంది .
418,sg,చిన్న దవాఖానా ఒకటి ఉంది
419,sg,ఊరివారి తగవులు తీర్చ కచేరి సావడి ఉంది .
420,sg,ఆ ఊరిలో రామయ్య సన్నకారు రైతు ఉన్నాడు .
421,,ఇద్దరు NULL .
422,,ఒక కొడుకు ఒక కూతురు NULL .
423,,పిల్ల పేరు నాగమల్లి
424,,అందమైన చిన్న తల్లి
425,,ముద్ద బంతి పూవు ముద్దులొలుకు ఆ మల్లి NULL .
426,,ఊరివారి అందరికీ ముద్దు మురిపాల మల్లి NULL .
427,sg,పొద్దుననే లేస్తుంది .
428,sg,చద్ది బువ్వ తింటుంది .
429,sg,చిన్న చిన్న పనులు చేసి చేనుకు వెడుతుంది .
430,sg,అయ్యకు అన్నం ఇచ్చి . అందరినీ పలకరించి కాలువలో ఆటలాడి కలకలమని తిరుగుతుంది .
431,sg,మల్లి తల్లి చేనుకు ఏలితే ఇల్లు చిన్నబోతుంది .
432,sg,వద్దంటే వినకుండా ఊరంతా తిరుగుతావు .
433,,చెరువు గట్టుకు పోయినపుడు దెయ్యం పట్టినదేమో .
434,pl,ఎండి వరుగు అయిపోయెను .
435,pl,తిండి అసలు తినకుండెను .
436,pl,అయినా ఎవరూ దవాఖానా పేరు ఎత్తరు .
